Category,Location,Headline,Row
Natural Disasters,Oranjestad,"An earthquake struck Oranjestad, causing widespread damage.",1
Natural Disasters,Noord,"An earthquake struck Noord, causing widespread damage.",2
Natural Disasters,Tanki Leendert,"An earthquake struck Tanki Leendert, causing widespread damage.",3
Natural Disasters,Kabul,"An earthquake struck Kabul, causing widespread damage.",4
Natural Disasters,Herat,"An earthquake struck Herat, causing widespread damage.",5
Natural Disasters,Kandahar,"An earthquake struck Kandahar, causing widespread damage.",6
Natural Disasters,Luanda,"An earthquake struck Luanda, causing widespread damage.",7
Natural Disasters,Lubango,"An earthquake struck Lubango, causing widespread damage.",8
Natural Disasters,Huambo,"An earthquake struck Huambo, causing widespread damage.",9
Natural Disasters,Tirana,"An earthquake struck Tirana, causing widespread damage.",10
Natural Disasters,Durrës,"An earthquake struck Durrës, causing widespread damage.",11
Natural Disasters,Elbasan,"An earthquake struck Elbasan, causing widespread damage.",12
Natural Disasters,Andorra la Vella,"An earthquake struck Andorra la Vella, causing widespread damage.",13
Natural Disasters,Les Escaldes,"An earthquake struck Les Escaldes, causing widespread damage.",14
Natural Disasters,Encamp,"An earthquake struck Encamp, causing widespread damage.",15
Natural Disasters,Dubai,"An earthquake struck Dubai, causing widespread damage.",16
Natural Disasters,Abu Dhabi,"An earthquake struck Abu Dhabi, causing widespread damage.",17
Natural Disasters,Sharjah,"An earthquake struck Sharjah, causing widespread damage.",18
Natural Disasters,Buenos Aires,"An earthquake struck Buenos Aires, causing widespread damage.",19
Natural Disasters,Córdoba,"An earthquake struck Córdoba, causing widespread damage.",20
Natural Disasters,Rosario,"An earthquake struck Rosario, causing widespread damage.",21
Natural Disasters,Yerevan,"An earthquake struck Yerevan, causing widespread damage.",22
Natural Disasters,Malatia-Sebastia,"An earthquake struck Malatia-Sebastia, causing widespread damage.",23
Natural Disasters,Shengavit,"An earthquake struck Shengavit, causing widespread damage.",24
Natural Disasters,Pago Pago,"An earthquake struck Pago Pago, causing widespread damage.",25
Natural Disasters,Tafuna,"An earthquake struck Tafuna, causing widespread damage.",26
Natural Disasters,Leone,"An earthquake struck Leone, causing widespread damage.",27
Natural Disasters,St John's,"An earthquake struck St John's, causing widespread damage.",28
Natural Disasters,All Saints,"An earthquake struck All Saints, causing widespread damage.",29
Natural Disasters,Piggotts,"An earthquake struck Piggotts, causing widespread damage.",30
Natural Disasters,Sydney,"An earthquake struck Sydney, causing widespread damage.",31
Natural Disasters,Melbourne,"An earthquake struck Melbourne, causing widespread damage.",32
Natural Disasters,Brisbane,"An earthquake struck Brisbane, causing widespread damage.",33
Natural Disasters,Vienna,"An earthquake struck Vienna, causing widespread damage.",34
Natural Disasters,Graz,"An earthquake struck Graz, causing widespread damage.",35
Natural Disasters,Linz,"An earthquake struck Linz, causing widespread damage.",36
Natural Disasters,Baku,"An earthquake struck Baku, causing widespread damage.",37
Natural Disasters,Sumqayit,"An earthquake struck Sumqayit, causing widespread damage.",38
Natural Disasters,Ganja,"An earthquake struck Ganja, causing widespread damage.",39
Natural Disasters,Bujumbura,"An earthquake struck Bujumbura, causing widespread damage.",40
Natural Disasters,Gitega,"An earthquake struck Gitega, causing widespread damage.",41
Natural Disasters,Ngozi,"An earthquake struck Ngozi, causing widespread damage.",42
Natural Disasters,Brussels,"An earthquake struck Brussels, causing widespread damage.",43
Natural Disasters,Antwerp,"An earthquake struck Antwerp, causing widespread damage.",44
Natural Disasters,Ghent,"An earthquake struck Ghent, causing widespread damage.",45
Natural Disasters,Cotonou,"An earthquake struck Cotonou, causing widespread damage.",46
Natural Disasters,Abomey-Calavi,"An earthquake struck Abomey-Calavi, causing widespread damage.",47
Natural Disasters,Porto-Novo,"An earthquake struck Porto-Novo, causing widespread damage.",48
Natural Disasters,Ouagadougou,"An earthquake struck Ouagadougou, causing widespread damage.",49
Natural Disasters,Bobo-Dioulasso,"An earthquake struck Bobo-Dioulasso, causing widespread damage.",50
Natural Disasters,Koudougou,"An earthquake struck Koudougou, causing widespread damage.",51
Natural Disasters,Dhaka,"An earthquake struck Dhaka, causing widespread damage.",52
Natural Disasters,Chittagong,"An earthquake struck Chittagong, causing widespread damage.",53
Natural Disasters,Gazipur,"An earthquake struck Gazipur, causing widespread damage.",54
Natural Disasters,Sofia,"An earthquake struck Sofia, causing widespread damage.",55
Natural Disasters,Plovdiv,"An earthquake struck Plovdiv, causing widespread damage.",56
Natural Disasters,Varna,"An earthquake struck Varna, causing widespread damage.",57
Natural Disasters,Riffa,"An earthquake struck Riffa, causing widespread damage.",58
Natural Disasters,Manama,"An earthquake struck Manama, causing widespread damage.",59
Natural Disasters,Al Muharraq,"An earthquake struck Al Muharraq, causing widespread damage.",60
Natural Disasters,Nassau,"An earthquake struck Nassau, causing widespread damage.",61
Natural Disasters,Lucaya,"An earthquake struck Lucaya, causing widespread damage.",62
Natural Disasters,Freeport,"An earthquake struck Freeport, causing widespread damage.",63
Natural Disasters,Sarajevo,"An earthquake struck Sarajevo, causing widespread damage.",64
Natural Disasters,Banja Luka,"An earthquake struck Banja Luka, causing widespread damage.",65
Natural Disasters,Zenica,"An earthquake struck Zenica, causing widespread damage.",66
Natural Disasters,Minsk,"An earthquake struck Minsk, causing widespread damage.",67
Natural Disasters,Homyel,"An earthquake struck Homyel, causing widespread damage.",68
Natural Disasters,Hrodna,"An earthquake struck Hrodna, causing widespread damage.",69
Natural Disasters,Belize City,"An earthquake struck Belize City, causing widespread damage.",70
Natural Disasters,San Ignacio,"An earthquake struck San Ignacio, causing widespread damage.",71
Natural Disasters,San Pedro Town,"An earthquake struck San Pedro Town, causing widespread damage.",72
Natural Disasters,Saint George,"An earthquake struck Saint George, causing widespread damage.",73
Natural Disasters,Hamilton,"An earthquake struck Hamilton, causing widespread damage.",74
Natural Disasters,Stovel Bay,"An earthquake struck Stovel Bay, causing widespread damage.",75
Natural Disasters,La Paz,"An earthquake struck La Paz, causing widespread damage.",76
Natural Disasters,Santa Cruz,"An earthquake struck Santa Cruz, causing widespread damage.",77
Natural Disasters,Cochabamba,"An earthquake struck Cochabamba, causing widespread damage.",78
Natural Disasters,São Paulo,"An earthquake struck São Paulo, causing widespread damage.",79
Natural Disasters,Rio de Janeiro,"An earthquake struck Rio de Janeiro, causing widespread damage.",80
Natural Disasters,Belo Horizonte,"An earthquake struck Belo Horizonte, causing widespread damage.",81
Natural Disasters,Bridgetown,"An earthquake struck Bridgetown, causing widespread damage.",82
Natural Disasters,Speightstown,"An earthquake struck Speightstown, causing widespread damage.",83
Natural Disasters,Oistins,"An earthquake struck Oistins, causing widespread damage.",84
Natural Disasters,Bandar Seri Begawan,"An earthquake struck Bandar Seri Begawan, causing widespread damage.",85
Natural Disasters,Sengkurong,"An earthquake struck Sengkurong, causing widespread damage.",86
Natural Disasters,Mentiri,"An earthquake struck Mentiri, causing widespread damage.",87
Natural Disasters,Thimphu,"An earthquake struck Thimphu, causing widespread damage.",88
Natural Disasters,Phuntsholing,"An earthquake struck Phuntsholing, causing widespread damage.",89
Natural Disasters,Tsirang,"An earthquake struck Tsirang, causing widespread damage.",90
Natural Disasters,Gaborone,"An earthquake struck Gaborone, causing widespread damage.",91
Natural Disasters,Francistown,"An earthquake struck Francistown, causing widespread damage.",92
Natural Disasters,Mogoditshane,"An earthquake struck Mogoditshane, causing widespread damage.",93
Natural Disasters,Bangui,"An earthquake struck Bangui, causing widespread damage.",94
Natural Disasters,Bimbo,"An earthquake struck Bimbo, causing widespread damage.",95
Natural Disasters,Bégoua,"An earthquake struck Bégoua, causing widespread damage.",96
Natural Disasters,Toronto,"An earthquake struck Toronto, causing widespread damage.",97
Natural Disasters,Montreal,"An earthquake struck Montreal, causing widespread damage.",98
Natural Disasters,Calgary,"An earthquake struck Calgary, causing widespread damage.",99
Natural Disasters,Zurich,"An earthquake struck Zurich, causing widespread damage.",100
Natural Disasters,Geneva,"An earthquake struck Geneva, causing widespread damage.",101
Natural Disasters,Basel,"An earthquake struck Basel, causing widespread damage.",102
Natural Disasters,Santiago,"An earthquake struck Santiago, causing widespread damage.",103
Natural Disasters,Puente Alto,"An earthquake struck Puente Alto, causing widespread damage.",104
Natural Disasters,Antofagasta,"An earthquake struck Antofagasta, causing widespread damage.",105
Natural Disasters,Shanghai,"An earthquake struck Shanghai, causing widespread damage.",106
Natural Disasters,Beijing,"An earthquake struck Beijing, causing widespread damage.",107
Natural Disasters,Shenzhen,"An earthquake struck Shenzhen, causing widespread damage.",108
Natural Disasters,Abidjan,"An earthquake struck Abidjan, causing widespread damage.",109
Natural Disasters,Abobo,"An earthquake struck Abobo, causing widespread damage.",110
Natural Disasters,Bouaké,"An earthquake struck Bouaké, causing widespread damage.",111
Natural Disasters,Douala,"An earthquake struck Douala, causing widespread damage.",112
Natural Disasters,Yaoundé,"An earthquake struck Yaoundé, causing widespread damage.",113
Natural Disasters,Bamenda,"An earthquake struck Bamenda, causing widespread damage.",114
Natural Disasters,Kinshasa,"An earthquake struck Kinshasa, causing widespread damage.",115
Natural Disasters,Lubumbashi,"An earthquake struck Lubumbashi, causing widespread damage.",116
